"filename", "language", "Python", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\README.md", "Markdown", 0, 0, 10, 0, 13, 23
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\console.py", "Python", 203, 0, 0, 0, 77, 280
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\data\console_commands.json", "JSON", 0, 19, 0, 0, 5, 24
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\data\save.json", "JSON", 0, 55, 0, 0, 0, 55
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\data\upgrade_data.json", "JSON", 0, 467, 0, 0, 1, 468
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\duck.py", "Python", 16, 0, 0, 0, 5, 21
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\duck_pop_effect.py", "Python", 31, 0, 0, 0, 13, 44
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\floating_text.py", "Python", 47, 0, 0, 0, 17, 64
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\fonts.py", "Python", 14, 0, 0, 0, 4, 18
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\magical_auto_clicker.py", "Python", 69, 0, 0, 0, 24, 93
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\main.py", "Python", 613, 0, 0, 65, 257, 935
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\options.py", "Python", 18, 0, 0, 0, 12, 30
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\pool.py", "Python", 31, 0, 0, 0, 12, 43
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\save_manager.py", "Python", 18, 0, 0, 0, 3, 21
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\stats.py", "Python", 18, 0, 0, 0, 12, 30
"c:\Users\topzg\OneDrive\Documents\Click-A-Duck\upgrade_buttons.py", "Python", 265, 0, 0, 0, 117, 382
"Total", "-", 1343, 541, 10, 65, 572, 2531
